00057,1375601354.391046,1375606924.341424,2013-216T07:29:14.391,2013-216T09:02:04.341,158.645870
00058,1375606924.341424,1375612494.278656,2013-216T09:02:04.341,2013-216T10:34:54.278,135.055158
00059,1375612494.278656,1375618064.146767,2013-216T10:34:54.278,2013-216T12:07:44.146,111.464486
00060,1375618064.146767,1375623634.116210,2013-216T12:07:44.146,2013-216T13:40:34.116,87.874695
00061,1375623634.116210,1375629204.105261,2013-216T13:40:34.116,2013-216T15:13:24.105,64.283044
00062,1375629204.105261,1375634774.058104,2013-216T15:13:24.105,2013-216T16:46:14.058,40.691545
00063,1375634774.058104,1375640344.003828,2013-216T16:46:14.058,2013-216T18:19:04.003,17.100777
00064,1375640344.003828,1375645913.881237,2013-216T18:19:04.003,2013-216T19:51:53.881,-6.489670
00065,1375645913.881237,1375651483.728795,2013-216T19:51:53.881,2013-216T21:24:43.728,-30.079717
00066,1375651483.728795,1375657053.596241,2013-216T21:24:43.728,2013-216T22:57:33.596,-53.670659
00067,1375657053.596241,1375662623.528875,2013-216T22:57:33.596,2013-217T00:30:23.528,-77.263123
00068,1375662623.528875,1375668193.467175,2013-217T00:30:23.528,2013-217T02:03:13.467,-100.856837
00069,1375668193.467175,1375673763.371257,2013-217T02:03:13.467,2013-217T03:36:03.371,-124.448889
00070,1375673763.371257,1375679333.238277,2013-217T03:36:03.371,2013-217T05:08:53.238,-148.039702
00071,1375679333.238277,1375684903.083781,2013-217T05:08:53.238,2013-217T06:41:43.083,-171.629331
00072,1375684903.083781,1375690472.977398,2013-217T06:41:43.083,2013-217T08:14:32.977,164.781198
00073,1375690472.977398,1375696042.881779,2013-217T08:14:32.977,2013-217T09:47:22.881,141.191002
00074,1375696042.881779,1375701612.703282,2013-217T09:47:22.881,2013-217T11:20:12.703,117.600237
00075,1375701612.703282,1375707182.596279,2013-217T11:20:12.703,2013-217T12:53:02.596,94.010721
00076,1375707182.596279,1375712752.538131,2013-217T12:53:02.596,2013-217T14:25:52.538,70.419689
00077,1375712752.538131,1375718322.454287,2013-217T14:25:52.538,2013-217T15:58:42.454,46.828266
00078,1375718322.454287,1375723892.353387,2013-217T15:58:42.454,2013-217T17:31:32.353,23.237540
00079,1375723892.353387,1375729462.193861,2013-217T17:31:32.353,2013-217T19:04:22.193,-0.352866
00080,1375729462.193861,1375735031.999418,2013-217T19:04:22.193,2013-217T20:37:11.999,-23.942822
00081,1375735031.999418,1375740601.803984,2013-217T20:37:11.999,2013-217T22:10:01.803,-47.533096
00082,1375740601.803984,1375746171.668316,2013-217T22:10:01.803,2013-217T23:42:51.668,-71.125141
